SDSS z u_mag sig_u_mag g_mag sig_g_mag r_mag sig_r_mag i_mag sig_i_mag z_mag sig_z_mag FIRST ROSAT Mp
000006.53+003055.2 1.8227 20.389 0.066 20.468 0.034 20.332 0.037 20.099 0.041 20.053 0.121  0.000 -9.000 -25.100
000008.13+001634.6 1.8365 20.233 0.054 20.200 0.024 19.945 0.032 19.491 0.032 19.191 0.068  0.000 -9.000 -25.738
000009.26+151754.5 1.1986 19.921 0.042 19.811 0.036 19.386 0.017 19.165 0.023 19.323 0.069 -1.000 -9.000 -25.085
000009.38+135618.4 2.2400 19.218 0.026 18.893 0.022 18.445 0.018 18.331 0.024 18.110 0.033 -1.000 -9.000 -27.419
000009.42-102751.9 1.8442 19.249 0.036 19.029 0.027 18.980 0.021 18.791 0.018 18.751 0.047  0.000 -9.000 -26.459
000011.41+145545.6 0.4596 19.637 0.030 19.466 0.024 19.362 0.022 19.193 0.025 19.005 0.047 -1.000 -9.000 -22.728
000011.96+000225.3 0.4790 18.237 0.028 17.971 0.020 18.025 0.019 17.956 0.014 17.911 0.029  0.000 -1.660 -24.046
000012.25-003220.5 1.4365 20.424 0.068 20.502 0.033 20.253 0.028 20.148 0.037 20.381 0.160  0.000 -9.000 -24.529
000013.14+141034.6 0.9491 19.519 0.034 19.281 0.028 19.115 0.016 19.155 0.024 19.071 0.053 -1.000 -9.000 -24.568
000013.80-005446.8 1.8361 20.541 0.063 20.212 0.034 20.062 0.027 19.602 0.030 19.477 0.075  0.000 -9.000 -25.648
000014.82-011030.6 1.8902 19.484 0.038 19.366 0.031 19.322 0.022 19.157 0.025 19.200 0.062  0.000 -9.000 -26.149
000015.47+005246.8 1.8476 19.777 0.046 19.615 0.023 19.551 0.022 19.217 0.036 19.138 0.062  0.000 -9.000 -26.017
000016.43-001833.4 0.7026 18.782 0.032 18.129 0.024 17.907 0.014 17.788 0.019 17.698 0.025  0.000 -9.000 -25.151
000017.38-085123.7 1.2499 19.151 0.034 18.722 0.020 18.263 0.021 18.276 0.036 18.260 0.037 13.966 -9.000 -26.062
000017.88+002612.6 0.5459 20.183 0.059 19.911 0.028 19.858 0.031 19.641 0.030 19.609 0.083  0.000 -9.000 -22.667
000024.02+152005.4 0.9885 19.413 0.044 19.183 0.035 18.988 0.015 19.079 0.023 19.133 0.060 -1.000 -1.877 -24.706
000026.29+134604.6 0.7678 19.345 0.030 18.998 0.023 18.922 0.023 19.010 0.022 18.838 0.042 -1.000 -9.000 -24.194
000028.82-102755.7 1.1377 20.461 0.086 19.697 0.030 19.176 0.016 19.143 0.023 19.105 0.061 15.450 -9.000 -24.971
000030.37-002732.4 1.8030 20.415 0.070 20.251 0.030 20.146 0.026 19.839 0.030 19.721 0.090  0.000 -9.000 -25.368
000031.86+010305.2 1.0925 20.566 0.070 20.100 0.023 19.649 0.020 19.596 0.030 19.568 0.083  0.000 -9.000 -24.394
000032.70-005512.9 1.5247 19.941 0.045 19.802 0.031 19.735 0.025 19.579 0.030 19.705 0.092  0.000 -9.000 -25.229
000035.75-103305.3 1.2177 19.404 0.041 19.455 0.029 19.045 0.015 19.006 0.023 19.181 0.066  0.000 -9.000 -25.264
